epoch,step,train_loss_epoch,train_loss_step,val_loss
0,1,,,1.0402700901031494
0,1,0.9156724810600281,,
1,3,,,1.1024082899093628
1,3,0.877876341342926,,
2,5,,,1.1050856113433838
2,5,0.9062782526016235,,
3,7,,,1.0763318538665771
3,7,0.9058830738067627,,
4,9,,0.9676697850227356,
4,9,,,1.0351101160049438
4,9,0.8885051012039185,,
5,11,,,1.0123555660247803
5,11,0.8890873789787292,,
6,13,,,1.0076512098312378
6,13,0.8779522776603699,,
7,15,,,1.0065220594406128
7,15,0.8745850324630737,,
8,17,,,1.007373332977295
8,17,0.8645861148834229,,
9,19,,1.253936529159546,
9,19,,,1.0019633769989014
9,19,0.8592585921287537,,
10,21,,,1.004071593284607
10,21,0.849069356918335,,
11,23,,,0.9705759286880493
11,23,0.8350255489349365,,
12,25,,,0.9186199307441711
12,25,0.8163993954658508,,
13,27,,,0.8694564700126648
13,27,0.7794992327690125,,
14,29,,1.0428138971328735,
14,29,,,0.8087261319160461
14,29,0.7328583002090454,,
15,31,,,0.7465341687202454
15,31,0.688711404800415,,
16,33,,,0.6904829144477844
16,33,0.6325863003730774,,
17,35,,,0.6506283283233643
17,35,0.5885323882102966,,
18,37,,,0.669059157371521
18,37,0.5533227324485779,,
19,39,,0.4368039667606354,
19,39,,,0.6128451824188232
19,39,0.560211181640625,,
